,OTUID,Site,Depth,presence
1,72ca0a899d71f7d9023e44474c260434,TP,5,0.933333333
2,1842b93d7b98f3df8bf1ff404d9b68e6,TP,5,0.866666667
3,449650c62a5a2e07020b60f3828b4a96,TP,5,0.866666667
4,9038eaddace005315f06a11e8208395a,TP,5,0.866666667
5,d0667017b9b23c61160f472f77d9b814,TP,5,0.866666667
6,2c7c9247a6941c48a5a1a1323d22e389,TP,5,0.833333333
7,43258d80332e0847f851dbe76c29c940,TP,5,0.8
8,72ca0a899d71f7d9023e44474c260434,SJ,5,0.88372093
9,60f64fade87eb41933e5332783af8e22,SJ,5,0.860465116
10,2be07a8d72925262126f2a02c52dddea,SJ,5,0.837209302
11,cc116080ed11666e003af169a31bf77b,SJ,5,0.837209302